,Query,Cosine Similarity
0,flu symptoms,1.0
1,symptoms of flu,0.98216945
2,symptoms of the flu,0.9707289
3,the flu symptoms,0.94855034
4,signs of flu,0.9464429
5,symptom of flu,0.93803465
6,what are flu symptoms,0.9352219
7,flu symptom,0.9339676
8,signs of the flu,0.9333807
9,what are the symptoms of flu,0.9332661
10,flu like symptoms,0.9324299
11,what are the symptoms of the flu,0.93202376
12,flu signs,0.9286898
13,influenza symptoms,0.8956383
14,flu virus symptoms,0.8921099
15,early flu symptoms,0.887658
16,flu symtoms,0.88397884
17,symptoms of influenza,0.87779486
18,flu symptoms uk,0.87234855
19,flu symptoms nhs,0.871263
20,flu symptoms 2019,0.8706618
21,flu symptoms 2017,0.8673034
22,aussie flu symptoms,0.85921204
23,symptoms of australian flu,0.8591528
24,symptoms of aussie flu,0.8581846
25,flu symptoms in adults,0.85731107
26,australian flu symptoms,0.85556173
27,flu symptoms 2018,0.8538294
28,cold or flu symptoms,0.84830695
29,flu symptoms child,0.8464368
30,flu symptoms in children,0.8456722
31,cold and flu symptoms,0.83901787
32,flu symptons,0.8270608
33,flu b symptoms,0.8249458
34,side effects of flu,0.8244349
35,cold flu symptoms,0.816133
36,flu symptoms 2016,0.81597507
37,flu side effects,0.8113329
38,stomach flu symptoms,0.8050293
39,flu effects,0.8028904
40,aussie flu symptoms nhs,0.80191684
41,aussie flu symptoms 2017,0.79940295
42,flu pain,0.79858553
43,flu jab symptoms,0.7983891
44,symptoms of stomach flu,0.798123
45,flu aches,0.79728436
46,flu like symptoms pregnant,0.79202914
47,australian flu symptoms nhs,0.79185957
48,flu symptoms last,0.78999424
49,flu,0.7880414
50,flu symptoms 2022,0.779922
51,symptoms of the swine flu,0.7736545
52,have the flu,0.7719929
53,do i have flu,0.769256
54,spanish flu symptoms,0.7691294
55,symptoms swine flu,0.7637504
56,influenza b symptoms,0.76254594
57,symptoms of swine flu,0.7529566
58,bird flu symptoms,0.75293297
59,flu going around,0.7521187
60,flu diarrhea,0.75187695
61,treat flu,0.7518719
62,flu statistics,0.7477894
63,what are the symptoms of swine flu,0.74595463
64,after effects of flu,0.7424426
65,flu symptom checker,0.74111724
66,stages of flu,0.7381057
67,flu cold,0.737788
68,flu advice,0.7372698
69,signs of swine flu,0.73649496
70,flu like,0.73640716
71,do i have the flu,0.7331114
72,swine flue symptoms,0.7328937
73,get rid of flu,0.7306581
74,severe flu,0.73029387
75,flu infection,0.7282828
76,flu bug,0.72622496
77,bad flu,0.72598183
78,flu jokes,0.72559327
79,flu complications,0.72243786
80,flu headache,0.71888125
81,h1n1 flu symptoms,0.71527165
82,flu recovery,0.7136729
83,flu wiki,0.71234185
84,flu in adults,0.71183324
85,what is flu,0.71136844
86,recover from flu,0.7102234
87,swine flu symptoms in adults,0.7091855
88,what is the flu,0.70915955
89,flu test,0.70774484
90,flu in children,0.7077415
91,recovering from flu,0.7077192
92,flu outbreak,0.7073107
93,symtoms of swine flu,0.70579386
94,mild flu,0.7044238
95,swine flu symtoms,0.70327866
96,flu and diarrhea,0.70298064
97,how long do flu symptoms last,0.7017309
98,flu definition,0.70156765
99,flu duration,0.70153844
100,new flu,0.7002726
101,having the flu,0.69911814
102,swine flu symptoms in children,0.6944659
103,flu virus,0.694327
104,flu like virus,0.69375277
105,recovery from flu,0.6917472
106,influenza,0.6899109
107,flu 2018,0.68977815
108,viral flu,0.68529654
109,illness symptoms,0.684041
110,aussie flu,0.6835055
111,flu death,0.6826197
112,flu epidemic,0.68134654
113,types of flu,0.68060803
114,flu vaccine side effects,0.6794221
115,flu contagious,0.6789714
116,fever flu,0.67701024
117,common flu,0.6761809
118,the flu,0.6742335
119,latest flu,0.6742229
120,have i got flu,0.67409825
121,do i have a cold or flu,0.6737442
122,type a flu,0.67302847
123,swine flu symptons,0.6724769
124,flu cough,0.67224014
125,nasal flu,0.6717128
126,flu trends,0.6716237
127,flu injection side effects,0.6714338
128,flu deaths,0.67035043
129,flu in toddlers,0.6699952
130,flu a,0.6697315
131,24 hour flu,0.66966
132,flu temperature,0.66893303
133,flu meme,0.668519
134,do i have flu or cold,0.6680723
135,side effects of flu vaccine,0.6679921
136,flu in babies,0.6670066
137,gastric flu symptoms,0.6667849
138,cure flu,0.6662078
139,australian flu,0.66588825
140,treating flu,0.6644151
141,flu jab side effects,0.66421235
142,child with flu,0.6635525
143,reaction to flu jab,0.66349864
144,side effects of the flu jab,0.66185856
145,seasonal flu,0.6617005
146,flu remedy,0.6604115
147,flu outbreaks,0.66026574
148,swine flu symptoms checker,0.66025835
149,side effects of flu jab,0.6601032
150,flu children,0.65869445
151,effects of flu jab,0.65329695
152,flu season,0.65266335
153,flu relief,0.6524631
154,flu when pregnant,0.6510477
155,cold vs flu,0.6504534
156,flu vaccination side effects,0.649878
157,ebola symptoms,0.64985114
158,flu remedies,0.64949065
159,fever symptoms,0.64944816
160,cure for flu,0.6494236
161,flu in pregnancy,0.6491596
162,man flu,0.64903545
163,got flu,0.6472541
164,flu sore throat,0.64696634
165,difference between a cold and flu,0.64422154
166,symptoms,0.64383197
167,flu prevention,0.6432745
168,flu last,0.6428429
169,flu how long does it last,0.6427604
170,virus symptoms,0.6425873
171,flu london,0.64252687
172,flu recovery time,0.64212096
173,ebola virus symptoms,0.6418424
174,how to recover from flu,0.64134204
175,flu and cough,0.63920176
176,flu while pregnant,0.6389096
177,best thing for flu,0.6388918
178,i have flu,0.6382513
179,uk flu,0.63777256
180,how long flu,0.63741744
181,flu jab side effects 2018,0.63738483
182,flu shot side effects,0.6368083
183,flu game,0.63677144
184,pregnancy and flu,0.6364475
185,influenza virus,0.6362803
186,infection symptoms,0.63625515
187,hay fever symptoms,0.6357837
188,flu update,0.6352109
189,is the flu contagious,0.6347187
190,flu treatment,0.6343692
191,flu during pregnancy,0.63415086
192,is flu contagious,0.6336058
193,is it flu or cold,0.6332843
194,remedies for flu,0.6332577
195,side effects of flu shot,0.6319878
196,symptoms of ebola,0.6318487
197,flu in uk,0.6310298
198,flu nhs,0.629875
199,symptoms of a cold,0.62951535
200,flu mexico,0.6293015
201,flu tracker,0.6288763
202,pregnant flu,0.62744486
203,food for flu,0.6258266
204,symptoms of fever,0.6253939
205,current flu virus,0.62450784
206,flu 2017 uk,0.62433887
207,cdc flu,0.6225091
208,flu incubation,0.62230396
209,flu contagious period,0.62147164
210,best way to get rid of flu,0.62110764
211,flu 2018 uk,0.62099636
212,flu tablets,0.61996704
213,intestinal flu,0.6186173
214,best remedies for flu,0.6185893
215,flu jab reactions,0.6178325
216,best cure for flu,0.6176665
217,cough after flu,0.6171354
218,after the flu,0.6169744
219,flu vaccines,0.6164325
220,cold and flu,0.61601055
221,child flu,0.6152049
222,the symptoms of ebola,0.61494076
223,swin flu,0.61445934
224,flu immunisation,0.61363494
225,flu medicine,0.6136328
226,flu and pneumonia,0.61353344
227,stomach flu,0.6124046
228,flu after flu jab,0.6119752
229,winter flu,0.611354
230,cholera symptoms,0.6113328
231,how to get rid of flu,0.6105441
232,influenza pandemic,0.61053944
233,flu vaccine child side effects,0.6105187
234,flu clinic,0.6103833
235,flu in early pregnancy,0.61034155
236,google flu,0.6102166
237,flu shot reactions,0.61004007
238,flu vaccine,0.6099858
239,medicine for flu,0.6094297
240,how to get rid of a flu,0.60910803
241,best flu remedies,0.608905
242,what is influenza,0.6081703
243,aussie flu uk,0.6079333
244,get flu jab,0.6072062
245,news flu,0.6063845
246,incubation period for flu,0.6057168
247,colds and flu,0.6055944
248,effects of swine flu,0.6054164
249,flu incubation period,0.6054125
250,flu deaths 2019,0.60527056
251,flu or covid,0.60500634
252,symptoms of a fever,0.60487574
253,how long does the flu last,0.6045517
254,best medicine for flu,0.6042759
255,flu home remedies,0.60423154
256,difference between cold and flu,0.60333455
257,how to get over flu,0.60311425
258,how to treat flu,0.6027014
259,flu jabs,0.6026852
260,when is flu season,0.60262203
261,symptoms of,0.60196066
262,flu season uk,0.601935
263,the spanish flu,0.60122085
264,cold or flu quiz,0.6006924
265,viral infection symptoms,0.6003237
266,freshers flu,0.599355
267,how to get rid of the flu,0.5989115
268,how long does flu last,0.59867156
269,how to treat the flu,0.5984516
270,best flu medicine,0.5981046
271,latest flu virus,0.59771824
272,how long does a flu last,0.5975857
273,flu deaths 2020,0.59722996
274,symptoms pneumonia,0.5969486
275,what to take for flu,0.59662485
276,pregnancy flu,0.596348
277,colitis symptoms,0.59609795
278,cold or flu,0.5960202
279,treatment for flu,0.59418964
280,flu map,0.5936389
281,summer flu,0.59238493
282,aussie flu nhs,0.5920099
283,how to get over the flu,0.591688
284,colic symptoms,0.59152704
285,i have the flu,0.59068286
286,flu antibiotics,0.58906674
287,flu jab,0.58806217
288,flu shot,0.58734125
289,home remedies for flu,0.58734107
290,man flu meme,0.58718055
291,how long to recover from flu,0.5871769
292,flu injection,0.58544123
293,how long can flu last,0.5849644
294,pandemic flu,0.58409894
295,influenza a,0.58295107
